,topic,document
0,12,I wish I would have gotten one earlier. I love it and it makes working in my laptop so much easier
1,1,"I've learned this lesson (again). Open the package and use the product right away. I ordered this mouse in August as my 'travel' mouse and just packed it away in my bag. Now, I've been visiting family in the PNW since mid-September. The mouse took a charge and worked fine for a couple of weeks. After I recharged the mouse, it worked for a day or two and then ceased to function. The optical light will flash once when turned on then.... nothing. Of course, the return window is well past."
2,-1,It is so slow and lags find a better option
3,4,Roller ball stopped working within 4 months of minimal use.  Piece of junk.
4,3,I like the color and size but it’s a few days out of the return period and it will not hold a charge
5,4,"Overall I love this mouse. The size, weight, clicking is all fabulous. However I’ve had two of these now and the middle scroller has randomly fallen in without rough use, it wasn’t dropped, literally was not even touching it the second time and I heard it fall. If you need to use the middle scroller a lot I do not recommend purchase. If you don’t use that feature then it’s a great mouse."
6,-1,It stopped working
7,4,"My son uses a school issued Chromebook for school work and hates using the touch pad to navigate the mouse. So we looked into a wireless mouse and found this one had so many good reviews. Unfortunately, the scrolling wheel has already broken and he has only used it a month. Since he only uses it for his school computer it mostly stayed stored safely in the carrying case. He was not rough with it and it was stored carefully when not in use. I am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at a campground. There is an email on the bottom of the mouse that says lifetime replacement but I have tried twice now to email them about it and it keeps bouncing back as undeliverable. I am sure this has been a great product for many and we likely got the dud so I am not telling anyone not to buy it but I am sharing our experience for others to consider."
8,4,Loved this cute little mouse but it broke after 2 months. The wheel broke off from the gear.
9,21,Should've spent the money to get a quality product. This thing stopped working after about a week. Worthless
10,1,"Beautifully produced and lovely to look at for a mouse.  The lights are a welcome addition to an otherwise drab workspace.  I did notice that it tends to go into a sleep mode quickly, but takes a longer ‘wake up’ time than I expect.  On a screen busy with windows, the cursor freezes in position until the mouse fully comes back to life.  It’s frustrating for anyone who isn’t patient."
11,1,First one broke in 1 week they sent a replacement and I returned broken one and it still hasn’t processed return now new one broke 2 weeks later.  I would not recommend this mouse
12,1,I don't typically write reviews but I keep having this issue with tech products from amazon. The mouse stopped working after 2 months of use. It charges and sometimes I can get short term use out of it but it's very glitchy and lags across the screen.
13,1,I liked the wireless mouse however after 3 months the roller on the mouse stopped working which leaves me not being able to scroll up or down on my pc. I’ll have to look into buying a more sturdy mouse.
14,4,The wheel from the mouse not working anymore. It only lasted for about 2 months. Really nice mouse but doesn't last.
15,4,"Nothing but issues the scroll wheel broke for no reason at all, no longer holds a charge. Would not recommend!!!"
16,-1,Wouldn’t recommend have been trying to charge it for days!
17,5,"I bought this in late June, it looks cool with the lights and all. It doesn't give a warning that the battery is low, just stops working. Now it is doing all kinds of weird stuff, clicking on items that you didn't, etc. Too late to return...oh well...not recommended."
18,4,After a few weeks the scroll wheel stopped working. I'm returning it.
19,1,This is the second time I have ordered this mouse. I actually really like the mouse except for the fact that they keep breaking and I have to order a new one. So for that reason I am only going to give you two stars. I ordered this particular mouse only two months ago and it’s already broken.  I should get my money back.
20,6,Excellent for price!
21,4,Disappointed in this mouse. The wheel broke after 7 months.
22,4,It felt like it would break easily and the texture of the mouse would get dirty quickly.
23,1,"Bought this mouse on December 2021. Its October 2022 and no matter how long I charge it, the only thing it does is blink the red light once and die. Don't recommend this at all."
24,1,"It works ok.  Nothing spectacular.  If you're a gamer or use the mouse quite a bit, you have to charge it about once a day, or it starts lagging and causes things to crash or freeze up due to the lag."
25,1,Unfortunately this mouse stopped working after a month of use. Can I replace the item or get a refund?
26,4,I had no issues with the mouse but I dropped it from not even 2ft from the ground (on accident of course) and the spin wheel and the left clicker broke. I’ve ordered another one and I hope it lasts longer than this one did.
27,-1,Bought 7 months ago now I have to charge it every other day.
28,3,"like design not function ,,, frustrating"
29,23,We tried several different ways to charge it and it would not hold a charge over 30 minutes. :(
30,1,I bought this mouse to go with my work laptop when I have to travel to sites. I HATE using the pad that is built into the laptop. This is cute and little. I am thinking about using it for my personal laptop when gaming or doing school work.
31,12,Got two of these with colors that matched out tablets. Easy to transport and just right feel in my hand. So far they work perfectly and at what I would consider a great price.
32,4,The mouse wheel broke and just spins now.  I used this for my work laptop and loved it but if this is the quality it is I will not buy another
33,-1,"I liked this product, until is stopped working 4 months later."
