the_review,year,month
I wish I would have gotten one earlier. I love it and it makes working in my laptop so much easier,2022,10
"I've learned this lesson (again). Open the package and use the product right away. I ordered this mouse in August as my 'travel' mouse and just packed it away in my bag. Now, I've been visiting family in the PNW since mid-September. The mouse took a charge and worked fine for a couple of weeks. After I recharged the mouse, it worked for a day or two and then ceased to function. The optical light will flash once when turned on then.... nothing. Of course, the return window is well past.",2022,10
It is so slow and lags find a better option,2022,10
Roller ball stopped working within 4 months of minimal use.  Piece of junk.,2022,10
I like the color and size but it’s a few days out of the return period and it will not hold a charge,2022,10
"Overall I love this mouse. The size, weight, clicking is all fabulous. However I’ve had two of these now and the middle scroller has randomly fallen in without rough use, it wasn’t dropped, literally was not even touching it the second time and I heard it fall. If you need to use the middle scroller a lot I do not recommend purchase. If you don’t use that feature then it’s a great mouse.",2022,10
It stopped working,2022,10
"My son uses a school issued Chromebook for school work and hates using the touch pad to navigate the mouse. So we looked into a wireless mouse and found this one had so many good reviews. Unfortunately, the scrolling wheel has already broken and he has only used it a month. Since he only uses it for his school computer it mostly stayed stored safely in the carrying case. He was not rough with it and it was stored carefully when not in use. I am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at a campground. There is an email on the bottom of the mouse that says lifetime replacement but I have tried twice now to email them about it and it keeps bouncing back as undeliverable. I am sure this has been a great product for many and we likely got the dud so I am not telling anyone not to buy it but I am sharing our experience for others to consider.",2022,10
Loved this cute little mouse but it broke after 2 months. The wheel broke off from the gear.,2022,10
Should've spent the money to get a quality product. This thing stopped working after about a week. Worthless,2022,10
"Beautifully produced and lovely to look at for a mouse.  The lights are a welcome addition to an otherwise drab workspace.  I did notice that it tends to go into a sleep mode quickly, but takes a longer ‘wake up’ time than I expect.  On a screen busy with windows, the cursor freezes in position until the mouse fully comes back to life.  It’s frustrating for anyone who isn’t patient.",2022,10
First one broke in 1 week they sent a replacement and I returned broken one and it still hasn’t processed return now new one broke 2 weeks later.  I would not recommend this mouse,2022,10
I don't typically write reviews but I keep having this issue with tech products from amazon. The mouse stopped working after 2 months of use. It charges and sometimes I can get short term use out of it but it's very glitchy and lags across the screen.,2022,10
I liked the wireless mouse however after 3 months the roller on the mouse stopped working which leaves me not being able to scroll up or down on my pc. I’ll have to look into buying a more sturdy mouse.,2022,10
The wheel from the mouse not working anymore. It only lasted for about 2 months. Really nice mouse but doesn't last.,2022,10
"Nothing but issues the scroll wheel broke for no reason at all, no longer holds a charge. Would not recommend!!!",2022,10
Wouldn’t recommend have been trying to charge it for days!,2022,10
"I bought this in late June, it looks cool with the lights and all. It doesn't give a warning that the battery is low, just stops working. Now it is doing all kinds of weird stuff, clicking on items that you didn't, etc. Too late to return...oh well...not recommended.",2022,10
After a few weeks the scroll wheel stopped working. I'm returning it.,2022,10
This is the second time I have ordered this mouse. I actually really like the mouse except for the fact that they keep breaking and I have to order a new one. So for that reason I am only going to give you two stars. I ordered this particular mouse only two months ago and it’s already broken.  I should get my money back.,2022,10
Excellent for price!,2022,10
Disappointed in this mouse. The wheel broke after 7 months.,2022,10
It felt like it would break easily and the texture of the mouse would get dirty quickly.,2022,10
"Bought this mouse on December 2021. Its October 2022 and no matter how long I charge it, the only thing it does is blink the red light once and die. Don't recommend this at all.",2022,10
"It works ok.  Nothing spectacular.  If you're a gamer or use the mouse quite a bit, you have to charge it about once a day, or it starts lagging and causes things to crash or freeze up due to the lag.",2022,10
Unfortunately this mouse stopped working after a month of use. Can I replace the item or get a refund?,2022,10
I had no issues with the mouse but I dropped it from not even 2ft from the ground (on accident of course) and the spin wheel and the left clicker broke. I’ve ordered another one and I hope it lasts longer than this one did.,2022,10
Bought 7 months ago now I have to charge it every other day.,2022,10
"like design not function ,,, frustrating",2022,10
We tried several different ways to charge it and it would not hold a charge over 30 minutes. :(,2022,10
I bought this mouse to go with my work laptop when I have to travel to sites. I HATE using the pad that is built into the laptop. This is cute and little. I am thinking about using it for my personal laptop when gaming or doing school work.,2022,10
Got two of these with colors that matched out tablets. Easy to transport and just right feel in my hand. So far they work perfectly and at what I would consider a great price.,2022,10
The mouse wheel broke and just spins now.  I used this for my work laptop and loved it but if this is the quality it is I will not buy another,2022,10
"I liked this product, until is stopped working 4 months later.",2022,10
"I’ve actually purchased two of these and both broke in the same way, the scroller. I do not recommend if you need them for any kind of gaming that requires the scroller. I need to use it for camera angles in game and without it gameplay is awful. I won’t be buying a third one, BUT if that’s not gonna be a problem for you then these will probably be great. They hold a charge well and the light show they put on is really cool.",2022,10
Easy to use,2022,10
" It's an excellent product. If you're looking for a wireless mouse, a good price and with high load durability, that's correct. I use it for work in ArcGis. Excellent service",2022,10
"As a lot of other reviewers said, the scroll wheel broke. I have had a different USB mouse for years without this problem. I'll be going back to it.The battery life is also very short. I'm constantly having to recharge it.",2022,10
FIrst time that I need to change the battery and it doesnt work anymore!!!  NO duro NI 6 Meses!!!,2022,10
Quit working after 6 months. Can't get it to work anymore charging port is messed up I have unplugged it once.,2022,10
Repeatedly and without proper functioning my mouse turned on for 1 second then turned right back off again after being plugged into the laptop overnight.  I searched for power issue reviews and found I am not the only one.  I cannot recommend this product and feel it should be taken down due to this.,2022,10
Stopped working 1 month after I received this,2022,10
"Didn’t, work, would not charge",2022,10
This is exactly what I needed. My favorite features are the quite clicks and the led lights.,2022,10
I got this less and two months ago and I LOVED it.... until today when it broke when I touched the wheel.,2022,10
"It was cute and worked super well while it lasted but about 6 weeks into using it, it just stops. Doesn’t hold a charge, doesn’t stay on. Of course it lasts beyond when you can return it so just don’t take the chance.",2022,10
It already doesn't work,2022,10
"I have had this a few months and loved it, but now the roller to scroll is not working.",2022,10
Haven’t had it long. USB-C adapter is already broken so my mouse is currently unusable on my MacBook. Mouse is decent but seems to not hold a charge very long when I was using it.,2022,10
I purchased this mouse back in June of this year. It is now October. The battery life is soo powerful. The color changing is the best experience I could have ha with a mouse. I can't believe how happy I am with this purchase.,2022,10
"The center scroll wheel broke in 3 weeks for no reason. Mouse was not dropped and barely used. Garbage, so you get what you pay for.",2022,10
"Charged all night, and only last few minutes.This mouse has pretty design, but it's too thin to hold.Just asked for refund but not replaced.",2022,10
This worked for a few months. I had to charge it overnight 2x a week as I work from home and used this mouse for my work laptop. After several months it stopped holding a charge and would have to be charged daily. Now it won’t charge or work. Super annoying because I really need a mouse and now I have to order another one. I had hoped this would last a LOT longer than 5 months but now I’m putting plastic into the landfill and it sucks.,2022,10
"You could think it's a decent mouse for the price you paid. But, in reality, it is an uncomfortable mouse and barely works. The only good thing about this mouse is that it comes with a USB to USB-c adapter, which comes in handy.",2022,10
"A very reasonably priced cordless, rechargeable mouse with 3-button control with scroll wheel, which is my preference rather than the MacBookAir track pad or the Mac Mouse for the desktop Mac.",2022,10
"I would buy it against n. It’s pretty, not really bling, just sleek.",2022,10
It has a soft touch,2022,10
The scroll feature on the mouse broke 2 weeks after the return period otherwise I like it.,2022,10
Its a nice mouse but i'm not sure if its good for gaming.,2022,10
cool and easy to use at first. but broke with in a few weeks of use.,2022,10
This product simply doesn’t work. The charger connection port is mishapen.,2022,10
"I hated this item, they described how easy it was to use and I received mine and it does not connect. after doing my research on it , its suppose to be compatible with my laptop and its not, so now I have to order a different one, im very disappointed in this product.",2022,10
"Feels very cheap. Wouldn’t charge on my laptop, had to plug it in on my desktop to charge it. Finally got it charged just for it to die after 2 hours of non-continuous use. It’s getting returned.",2022,10
My first one I had about 2 weeks and the wheel broke loose and it would not work. I received a replacement in two days and it's perfect! Can't blame them for a manufacturing issue. I love my pink mouse. I highly recommend it. I use it 8 hours a day 5 days a week.,2022,10
It works well.  It does what I purchased it for.,2022,10
Scroll interior post broke causing the mouse to no longer work. Bought in Jan 2022 broke Oct 2022. Otherwise nice functioning overall,2022,10
"I purchased this mouse as the wheel on my old one quit working, I loved the design and wanted another so I ordered it and received it Aug 31, 2022 It is Oct 17, 2022, and the wheel just quick working again.  I would recommend looking at a different mouse if you prefer your scrolling feature.",2022,10
